File_name,cgpa,sgpa
22020406009_1800265293.html,N/A,N/A
20010903003_1800266013.html,6.53488372093023,6.65217391304348
20010106021_1800265799.html,N/A,N/A
20010106030_1800265797.html,N/A,N/A
20010603033_1800265243.html,5.66,2.85
23020306008_1800265402.html,N/A,N/A
20010406006_1800265534.html,N/A,N/A
20011203008_1800265762.html,8.12,8.22
20010406005_1800265536.html,N/A,N/A
22010505067_1800265900.html,2.60,1.21
20010106005_1800265408.html,N/A,N/A
20010305017_1800265904.html,6.40,4.44
21010505031_1800265773.html,4.06,3.92
22010306033_1800266019.html,N/A,N/A
23010104024_1800265989.html,5.61,5.61
21010505045_1800265903.html,7.72,8.07
21020903013_1800265235.html,N/A,N/A
21011303015_1800266011.html,5.00833333333333,5.33333333333333
20010603001_1800265284.html,7.08,7.46
20011203016_1800265590.html,6.63,6.21
21020106004_1800265279.html,N/A,N/A
22010306027_1800265639.html,N/A,N/A
20010505023_1800265551.html,6.19,5.73
22020505001_1800265773.html,8.04,8.27
22010306025_1800265402.html,N/A,N/A
21010401023_1800265929.html,4.08,4.38
21010305015_1800265531.html,3.80,2.08
22010101006_1800265467.html,2.00,2.00
22010304059_1800265984.html,5.05,3.12
20010106016_1800265908.html,N/A,N/A
21010101046_1800265788.html,6.82,6.54
21010204005_1800265517.html,3.96,4.23
22011203021_1800265587.html,2.50,2.50
22015103034_1800265480.html,1.86,1.86
20010306044_1800266019.html,N/A,N/A
22010305042_1800265901.html,2.55,2.54
21010306019_1800265639.html,N/A,N/A
22010505046_1800265530.html,7.17,7.17
21020406002_1800265537.html,N/A,N/A
21020106012_1800266017.html,N/A,N/A
21010106009_1800265801.html,N/A,N/A
21010106047_1800265796.html,N/A,N/A
21011303003_1800265362.html,6.71,6.71
20010406007_1800265911.html,N/A,N/A
20010101004_1800265814.html,8.26,7.93
21010106006_1800266018.html,N/A,N/A
20010304006_1800265988.html,6.35,3.83
22010306010_1800265535.html,N/A,N/A
20010301058_1800265934.html,7.29,6.17
22010101066_1800265467.html,4.83,4.83
23010106031_1800265980.html,2.43,2.43
22010603071_1800265235.html,N/A,N/A
21010106009_1800266019.html,N/A,N/A
22010305038_1800265771.html,4.83,4.71
22010505013_1800265770.html,4.1666666667,4.1666666667
22010903003_1800265242.html,N/A,N/A
20010305022_1800265275.html,6.06,4.27
21020406013_1800265407.html,N/A,N/A
21011403007_1800265235.html,N/A,N/A
21011306001_1800265407.html,N/A,N/A
21010106036_1800265906.html,N/A,N/A
23015103002_1800266019.html,N/A,N/A
22010106029_1800266017.html,N/A,N/A
21020107008_1800265920.html,5.57,5.48
22011106001_1800265911.html,N/A,N/A
22010203011_1800265242.html,N/A,N/A
22010301017_1800265928.html,4.79,4.79
21021001013_1800265930.html,5.96,5.96
20010106026_1800265913.html,N/A,N/A
20010603036_1800265762.html,7.48,6.96
23020306006_1800265909.html,N/A,N/A
21010203003_1800265760.html,6.43,6.29
20010106051_1800266019.html,N/A,N/A
21010401033_1800265930.html,7.55,7.04
22010501045_1800265786.html,4.71,4.71
21021001010_1800265790.html,4.11,3.25
22020106011_1800266019.html,N/A,N/A
21010106050_1800265797.html,N/A,N/A
20010101059_1800265469.html,7.77,7.04
20010305001_1800265219.html,8.12,7.96
21021405001_1800265397.html,7.31,7.31
22010101021_1800265812.html,5.88,5.29
22010103062_1800266004.html,2.58,2.13
21020406014_1800265910.html,N/A,N/A
20010104013_1800265988.html,7.57,7.04
21020106002_1800265913.html,N/A,N/A
20010106048_1800265562.html,N/A,N/A
20010306046_1800265402.html,N/A,N/A
21010106007_1800265909.html,N/A,N/A
20011303009_1800266013.html,7.28488372093023,6.65217391304348
22010304004_1800265984.html,1.55,1.00
20010104012_1800265822.html,6.41,4.42
22011303048_1800266007.html,4.52,5.08
22020107012_1800265539.html,4.65217391304348,0
22010305032_1800265771.html,2.08,2.25
22020501002_1800265468.html,7.81,7.81
20011003005_1800265762.html,7.57,6.67
22021403002_1800265242.html,N/A,N/A
21020406007_1800265537.html,N/A,N/A
21010603002_1800266011.html,7.28225806451613,7.26923076923077
22020106004_1800265278.html,N/A,N/A
